rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/n_updates,train/policy_gradient_loss
-152.5076735,0,2048,200.0,1,10228,,,,,,,,,,,
-136.67387945000002,0,4096,200.0,2,5945,117.85635004043579,18.528621673583984,-2.847189626842737,0.045166015625,0.017215490341186523,0.00560735,0.0003,0.2,1.0095736980438232,10,-0.005809708361630328
-138.2587913,1,6144,200.0,3,5352,35.01022921800613,12.402901649475098,-2.859531816840172,0.0595703125,-0.2513514757156372,0.0072526815,0.0003,0.2,1.011814832687378,20,-0.007920245628338308
-136.898915025,1,8192,200.0,4,5119,44.94908916950226,15.273744583129883,-2.861220755428076,0.034228515625,-0.21718788146972656,0.007191225,0.0003,0.2,1.0150883197784424,30,-0.0046990051996544935
-129.44046339215686,2,10240,200.0,5,4949,55.65885087251663,14.953435897827148,-2.8645114086568357,0.01552734375,0.10166668891906738,0.0041015656,0.0003,0.2,1.0089364051818848,40,-0.005069076189829502
-122.22133286885246,2,12288,200.0,6,4858,39.05551911592484,19.348365783691406,-2.850432822853327,0.093212890625,0.10987943410873413,0.011106035,0.0003,0.2,1.0039688348770142,50,-0.012056804067469784
-116.07923498591548,2,14336,200.0,7,4791,26.701496930420397,15.08847713470459,-2.822709723562002,0.062109375,0.12315994501113892,0.008076839,0.0003,0.2,0.981381893157959,60,-0.008852530072908848
-111.20230507407406,3,16384,200.0,8,4749,30.90319318175316,20.81646156311035,-2.794964215904474,0.05126953125,0.08058446645736694,0.006944529,0.0003,0.2,0.9745322465896606,70,-0.007028791103948606
-105.52931435869566,3,18432,200.0,9,4715,28.74535097926855,16.621732711791992,-2.7771278396248817,0.041552734375,0.07548362016677856,0.0060469583,0.0003,0.2,0.9671348929405212,80,-0.005508682286017574
-100.62728996999998,4,20480,200.0,10,4688,28.094834101200103,7.759661674499512,-2.764384337514639,0.047119140625,0.03295212984085083,0.0058765984,0.0003,0.2,0.9594191908836365,90,-0.004839910179725848
-92.73281103,4,22528,200.0,11,4671,23.124487936496735,11.223896980285645,-2.7468895435333254,0.029345703125,0.04080331325531006,0.004738646,0.0003,0.2,0.9522128701210022,100,-0.005152157790143974
-87.14086276,5,24576,200.0,12,4655,20.236268736422062,10.371306419372559,-2.748165138810873,0.05703125,0.27651023864746094,0.008496257,0.0003,0.2,0.9594004154205322,110,-0.006755620695184916
-76.20319803,5,26624,200.0,13,4642,21.827039578557013,4.196864604949951,-2.7530078433454035,0.0583984375,0.060886263847351074,0.0063008387,0.0003,0.2,0.9592095017433167,120,-0.004793251855880953
-71.64813703,6,28672,200.0,14,4632,21.527921572327614,7.2952985763549805,-2.7531490959227085,0.031103515625,0.10572981834411621,0.0070529394,0.0003,0.2,0.9603006839752197,130,-0.004095825452532153
-67.20291108,6,30720,200.0,15,4621,17.5747968301177,9.605938911437988,-2.7466979078948497,0.04619140625,0.11736255884170532,0.0053021573,0.0003,0.2,0.9542410373687744,140,-0.004772400007641409
-64.96378586,7,32768,200.0,16,4595,17.00620182007551,5.877262592315674,-2.7507725186645984,0.050732421875,0.0737541913986206,0.005722557,0.0003,0.2,0.9602728486061096,150,-0.004380547540495172
-63.045126370000006,7,34816,200.0,17,4580,16.26468307673931,4.790561199188232,-2.7360161513090135,0.047705078125,0.0756450891494751,0.0060925754,0.0003,0.2,0.9426447749137878,160,-0.003872361668618396
-61.16484605999998,8,36864,200.0,18,4570,16.784337201714514,3.972670793533325,-2.701102261245251,0.08251953125,0.05677318572998047,0.010228833,0.0003,0.2,0.9291794896125793,170,-0.005107311613392085
-60.98583537,8,38912,200.0,19,4560,14.326372669637204,3.5312082767486572,-2.6771064952015875,0.05703125,0.1046404242515564,0.008000055,0.0003,0.2,0.9187240600585938,180,-0.004192934861930553
-59.87550031999999,8,40960,200.0,20,4554,16.749688591063023,7.507075309753418,-2.655817637592554,0.042822265625,-0.005490541458129883,0.005714571,0.0003,0.2,0.9102843403816223,190,-0.0045640397576789836
-58.33119763,9,43008,200.0,21,4549,13.965520256757737,10.849912643432617,-2.6401562578976154,0.07451171875,0.08927881717681885,0.007705578,0.0003,0.2,0.9026378393173218,200,-0.007633888763666619
-57.667305530000014,9,45056,200.0,22,4545,15.100777633488178,6.773674964904785,-2.6255481630563735,0.037109375,0.12822413444519043,0.0049798684,0.0003,0.2,0.8965246081352234,210,-0.0060303069549263455
-57.158486339999996,10,47104,200.0,23,4540,14.26682595461607,6.309820175170898,-2.600809720158577,0.040185546875,-0.04805302619934082,0.0053226426,0.0003,0.2,0.8820452094078064,220,-0.005275310706929303
-57.063299009999994,10,49152,200.0,24,4527,12.139236338436604,3.0578770637512207,-2.565807922929525,0.0384765625,0.07022863626480103,0.005675842,0.0003,0.2,0.8672236204147339,230,-0.005117483623325825
-57.020162119999995,11,51200,200.0,25,4520,13.36965303570032,5.774078845977783,-2.5399024955928327,0.056884765625,-0.01084434986114502,0.0077533186,0.0003,0.2,0.8544976711273193,240,-0.004044194645393873
